Name,architecture,corr_name,corr_scope,test/rmse,test/mae,val/rmse,val/mae,train/loss
gru,GRU,mi,global,3.2429355723485800,0.6552225351333620,0.7168641851352720,0.2166876494884490,0.027136951684951800
dcrnn-pearsons-local,DCRNN,pearsons,local,3.215697535520660,0.5667828917503360,0.6854557944108880,0.1609804779291150,0.04609052091836930
dcrnn-mi-global,DCRNN,mi,global,3.209893198345950,0.6291201710700990,0.6981673193854390,0.1920941472053530,0.0297422856092453
dcrnn-mi-local,DCRNN,mi,local,3.176964045718890,0.534771203994751,0.6653602709446940,0.15944938361644700,0.053771622478961900
dcrnn-pearsons-global,DCRNN,pearsons,global,3.098563101219070,0.3901531100273130,0.6053648336511150,0.1088700070977210,0.012581536546349500
graph-transformer,GraphTransformer,-,-,1.500056504139010,0.3395112454891210,0.35002644132463600,0.12291812896728500,0.011079792864620700
graph-transformer-mi-global,GraphTransformer,mi,global,1.3987523582240900,0.25349923968315100,0.3052944959527020,0.1103776916861530,0.011671887710690500
graph-transformer-mi-dual,GraphTransformer,mi,dual,1.1827567889902200,0.22669368982315100,0.25853631975166200,0.08522877097129820,0.011113909073174
graph-transformer-mi-local,GraphTransformer,mi,local,1.1261402285784000,0.2301568239927290,0.25636473099291500,0.09211260825395580,0.024021539837122000
graph-transformer-pearsons-dual,GraphTransformer,pearsons,dual,1.1144160861209200,0.22910773754119900,0.2619346752774470,0.09958714991807940,0.011961432173848200
graph-transformer-pearsons-local,GraphTransformer,pearsons,local,0.9192813335968100,0.20001909136772200,0.2188276340461410,0.08906486630439760,0.011778461746871500
graph-transformer-pearsons-global,GraphTransformer,pearsons,global,0.8220605662487080,0.21085125207901,0.2560428660302330,0.1809064894914630,0.011365803889930200